 (-3.00000000+0.00000000j)  (0.00000531+0.00000000j)
 (-2.87993997+0.00000000j)  (0.00000500-0.00000000j)
 (-2.87693847+0.00000000j)  (0.00000488-0.00000000j)
 (-2.87393697+0.00000000j)  (0.00000472+0.00000000j)
 (-2.87093547+0.00000000j)  (0.00000457+0.00000000j)
 (-2.86793397+0.00000000j)  (0.00000450-0.00000000j)
 (-2.86493247+0.00000000j)  (0.00000454-0.00000000j)
 (-2.86193097+0.00000000j)  (0.00000467-0.00000000j)
 (-2.85892946+0.00000000j)  (0.00000481-0.00000000j)
 (-2.85592796+0.00000000j)  (0.00000492+0.00000000j)
 (-2.85292646+0.00000000j)  (0.00000500-0.00000000j)
 (-2.84992496+0.00000000j)  (0.00000505-0.00000000j)
 (-2.84692346+0.00000000j)  (0.00000508+0.00000000j)
 (-2.84392196+0.00000000j)  (0.00000509+0.00000000j)
 (-2.84092046+0.00000000j)  (0.00000509+0.00000000j)
 (-2.83791896+0.00000000j)  (0.00000508+0.00000000j)
 (-2.83491746+0.00000000j)  (0.00000507+0.00000000j)
 (-2.83191596+0.00000000j)  (0.00000506-0.00000000j)
 (-2.82891446+0.00000000j)  (0.00000504+0.00000000j)
 (-2.82591296+0.00000000j)  (0.00000503-0.00000000j)
 (-2.82291146+0.00000000j)  (0.00000499-0.00000000j)
 (-2.81990995+0.00000000j)  (0.00000494+0.00000000j)
 (-2.81690845+0.00000000j)  (0.00000489-0.00000000j)
 (-2.81390695+0.00000000j)  (0.00000485-0.00000000j)
 (-2.81090545+0.00000000j)  (0.00000480+0.00000000j)
 (-2.80790395+0.00000000j)  (0.00000475+0.00000000j)
 (-2.80490245+0.00000000j)  (0.00000469+0.00000000j)
 (-2.80190095+0.00000000j)  (0.00000463-0.00000000j)
 (-2.79889945+0.00000000j)  (0.00000456+0.00000000j)
 (-2.79589795+0.00000000j)  (0.00000449-0.00000000j)
 (-2.79289645+0.00000000j)  (0.00000441-0.00000000j)
 (-2.78989495+0.00000000j)  (0.00000432+0.00000000j)
 (-2.78689345+0.00000000j)  (0.00000422-0.00000000j)
 (-2.78389195+0.00000000j)  (0.00000412-0.00000000j)
 (-2.78089045+0.00000000j)  (0.00000400+0.00000000j)
 (-2.77788894+0.00000000j)  (0.00000388-0.00000000j)
 (-2.77488744+0.00000000j)  (0.00000375-0.00000000j)
 (-2.77188594+0.00000000j)  (0.00000360-0.00000000j)
 (-2.76888444+0.00000000j)  (0.00000343+0.00000000j)
 (-2.76588294+0.00000000j)  (0.00000325+0.00000000j)
 (-2.76288144+0.00000000j)  (0.00000306+0.00000000j)
 (-2.75987994+0.00000000j)  (0.00000285+0.00000000j)
 (-2.75687844+0.00000000j)  (0.00000263+0.00000000j)
 (-2.75387694+0.00000000j)  (0.00000240-0.00000000j)
 (-2.75087544+0.00000000j)  (0.00000215+0.00000000j)
 (-2.74787394+0.00000000j)  (0.00000189-0.00000000j)
 (-2.74487244+0.00000000j)  (0.00000162-0.00000000j)
 (-2.74187094+0.00000000j)  (0.00000136+0.00000000j)
 (-2.73886943+0.00000000j)  (0.00000115-0.00000000j)
 (-2.73586793+0.00000000j)  (0.00000096-0.00000000j)
 (-2.73286643+0.00000000j)  (0.00000080-0.00000000j)
 (-2.72986493+0.00000000j)  (0.00000068-0.00000000j)
 (-2.72686343+0.00000000j)  (0.00000063-0.00000000j)
 (-2.72386193+0.00000000j)  (0.00000064-0.00000000j)
 (-2.72086043+0.00000000j)  (0.00000070+0.00000000j)
 (-2.71785893+0.00000000j)  (0.00000082+0.00000000j)
 (-2.71485743+0.00000000j)  (0.00000098+0.00000000j)
 (-2.71185593+0.00000000j)  (0.00000117-0.00000000j)
 (-2.70885443+0.00000000j)  (0.00000139+0.00000000j)
 (-2.70585293+0.00000000j)  (0.00000162+0.00000000j)
 (-2.70285143+0.00000000j)  (0.00000185-0.00000000j)
 (-2.69984992+0.00000000j)  (0.00000209+0.00000000j)
 (-2.69684842+0.00000000j)  (0.00000231+0.00000000j)
 (-2.69384692+0.00000000j)  (0.00000253+0.00000000j)
 (-2.69084542+0.00000000j)  (0.00000273+0.00000000j)
 (-2.68784392+0.00000000j)  (0.00000291-0.00000000j)
 (-2.68484242+0.00000000j)  (0.00000308-0.00000000j)
 (-2.68184092+0.00000000j)  (0.00000323+0.00000000j)
 (-2.67883942+0.00000000j)  (0.00000337+0.00000000j)
 (-2.67583792+0.00000000j)  (0.00000350-0.00000000j)
 (-2.67283642+0.00000000j)  (0.00000361+0.00000000j)
 (-2.66983492+0.00000000j)  (0.00000371-0.00000000j)
 (-2.66683342+0.00000000j)  (0.00000379+0.00000000j)
 (-2.66383192+0.00000000j)  (0.00000386+0.00000000j)
 (-2.66083042+0.00000000j)  (0.00000393+0.00000000j)
 (-2.65782891+0.00000000j)  (0.00000397-0.00000000j)
 (-2.65482741+0.00000000j)  (0.00000402-0.00000000j)
 (-2.65182591+0.00000000j)  (0.00000405+0.00000000j)
 (-2.64882441+0.00000000j)  (0.00000408-0.00000000j)
 (-2.64582291+0.00000000j)  (0.00000408-0.00000000j)
 (-2.64282141+0.00000000j)  (0.00000408+0.00000000j)
 (-2.63981991+0.00000000j)  (0.00000405-0.00000000j)
 (-2.63681841+0.00000000j)  (0.00000399+0.00000000j)
 (-2.63381691+0.00000000j)  (0.00000391-0.00000000j)
 (-2.63081541+0.00000000j)  (0.00000378-0.00000000j)
 (-2.62781391+0.00000000j)  (0.00000359-0.00000000j)
 (-2.62481241+0.00000000j)  (0.00000335+0.00000000j)
 (-2.62181091+0.00000000j)  (0.00000308+0.00000000j)
 (-2.61880940+0.00000000j)  (0.00000282+0.00000000j)
 (-2.61580790+0.00000000j)  (0.00000256-0.00000000j)
 (-2.61280640+0.00000000j)  (0.00000223+0.00000000j)
 (-2.60980490+0.00000000j)  (0.00000175-0.00000000j)
 (-2.60680340+0.00000000j)  (0.00000112-0.00000000j)
 (-2.60380190+0.00000000j)  (0.00000053-0.00000000j)
 (-2.60080040+0.00000000j)  (0.00000047+0.00000000j)
 (-2.59779890+0.00000000j)  (0.00000111-0.00000000j)
 (-2.59479740+0.00000000j)  (0.00000198-0.00000000j)
 (-2.59179590+0.00000000j)  (0.00000271-0.00000000j)
 (-2.58879440+0.00000000j)  (0.00000323+0.00000000j)
 (-2.58579290+0.00000000j)  (0.00000358+0.00000000j)
 (-2.58279140+0.00000000j)  (0.00000382-0.00000000j)
 (-2.57978989+0.00000000j)  (0.00000398-0.00000000j)
 (-2.57678839+0.00000000j)  (0.00000410-0.00000000j)
 (-2.57378689+0.00000000j)  (0.00000419+0.00000000j)
 (-2.57078539+0.00000000j)  (0.00000426-0.00000000j)
 (-2.56778389+0.00000000j)  (0.00000432+0.00000000j)
 (-2.56478239+0.00000000j)  (0.00000434-0.00000000j)
 (-2.56178089+0.00000000j)  (0.00000433-0.00000000j)
 (-2.55877939+0.00000000j)  (0.00000432+0.00000000j)
 (-2.55577789+0.00000000j)  (0.00000430+0.00000000j)
 (-2.55277639+0.00000000j)  (0.00000428+0.00000000j)
 (-2.54977489+0.00000000j)  (0.00000423+0.00000000j)
 (-2.54677339+0.00000000j)  (0.00000417-0.00000000j)
 (-2.54377189+0.00000000j)  (0.00000409+0.00000000j)
 (-2.54077039+0.00000000j)  (0.00000399+0.00000000j)
 (-2.53776888+0.00000000j)  (0.00000386-0.00000000j)
 (-2.53476738+0.00000000j)  (0.00000372-0.00000000j)
 (-2.53176588+0.00000000j)  (0.00000359+0.00000000j)
 (-2.52876438+0.00000000j)  (0.00000351-0.00000000j)
 (-2.52576288+0.00000000j)  (0.00000350-0.00000000j)
 (-2.52276138+0.00000000j)  (0.00000355+0.00000000j)
 (-2.51975988+0.00000000j)  (0.00000363-0.00000000j)
 (-2.51675838+0.00000000j)  (0.00000372+0.00000000j)
 (-2.51375688+0.00000000j)  (0.00000380-0.00000000j)
 (-2.51075538+0.00000000j)  (0.00000387+0.00000000j)
 (-2.50775388+0.00000000j)  (0.00000393+0.00000000j)
 (-2.50475238+0.00000000j)  (0.00000397-0.00000000j)
 (-2.50175088+0.00000000j)  (0.00000400+0.00000000j)
 (-2.49874937+0.00000000j)  (0.00000402-0.00000000j)
 (-2.49574787+0.00000000j)  (0.00000405+0.00000000j)
 (-2.49274637+0.00000000j)  (0.00000407-0.00000000j)
 (-2.48974487+0.00000000j)  (0.00000408-0.00000000j)
 (-2.48674337+0.00000000j)  (0.00000409-0.00000000j)
 (-2.48374187+0.00000000j)  (0.00000408-0.00000000j)
 (-2.48074037+0.00000000j)  (0.00000407-0.00000000j)
 (-2.47773887+0.00000000j)  (0.00000404-0.00000000j)
 (-2.47473737+0.00000000j)  (0.00000400+0.00000000j)
 (-2.47173587+0.00000000j)  (0.00000395+0.00000000j)
 (-2.46873437+0.00000000j)  (0.00000387+0.00000000j)
 (-2.46573287+0.00000000j)  (0.00000376+0.00000000j)
 (-2.46273137+0.00000000j)  (0.00000362-0.00000000j)
 (-2.45972986+0.00000000j)  (0.00000344+0.00000000j)
 (-2.45672836+0.00000000j)  (0.00000319+0.00000000j)
 (-2.45372686+0.00000000j)  (0.00000289+0.00000000j)
 (-2.45072536+0.00000000j)  (0.00000258-0.00000000j)
 (-2.44772386+0.00000000j)  (0.00000237-0.00000000j)
 (-2.44472236+0.00000000j)  (0.00000235-0.00000000j)
 (-2.44172086+0.00000000j)  (0.00000253-0.00000000j)
 (-2.43871936+0.00000000j)  (0.00000281-0.00000000j)
 (-2.43571786+0.00000000j)  (0.00000308+0.00000000j)
 (-2.43271636+0.00000000j)  (0.00000330-0.00000000j)
 (-2.42971486+0.00000000j)  (0.00000345+0.00000000j)
 (-2.42671336+0.00000000j)  (0.00000355-0.00000000j)
 (-2.42371186+0.00000000j)  (0.00000361+0.00000000j)
 (-2.42071036+0.00000000j)  (0.00000363-0.00000000j)
 (-2.41770885+0.00000000j)  (0.00000363+0.00000000j)
 (-2.41470735+0.00000000j)  (0.00000362+0.00000000j)
 (-2.41170585+0.00000000j)  (0.00000363+0.00000000j)
 (-2.40870435+0.00000000j)  (0.00000373-0.00000000j)
 (-2.40570285+0.00000000j)  (0.00000401+0.00000000j)
 (-2.40270135+0.00000000j)  (0.00000418-0.00000000j)
 (-2.39969985+0.00000000j)  (0.00000391-0.00000000j)
 (-2.39669835+0.00000000j)  (0.00000371+0.00000000j)
 (-2.39369685+0.00000000j)  (0.00000362+0.00000000j)
 (-2.39069535+0.00000000j)  (0.00000356+0.00000000j)
 (-2.38769385+0.00000000j)  (0.00000351-0.00000000j)
 (-2.38469235+0.00000000j)  (0.00000346+0.00000000j)
 (-2.38169085+0.00000000j)  (0.00000340+0.00000000j)
 (-2.37868934+0.00000000j)  (0.00000334+0.00000000j)
 (-2.37568784+0.00000000j)  (0.00000326-0.00000000j)
 (-2.37268634+0.00000000j)  (0.00000317-0.00000000j)
 (-2.36968484+0.00000000j)  (0.00000306+0.00000000j)
 (-2.36668334+0.00000000j)  (0.00000294-0.00000000j)
 (-2.36368184+0.00000000j)  (0.00000280-0.00000000j)
 (-2.36068034+0.00000000j)  (0.00000263-0.00000000j)
 (-2.35767884+0.00000000j)  (0.00000245-0.00000000j)
 (-2.35467734+0.00000000j)  (0.00000225+0.00000000j)
 (-2.35167584+0.00000000j)  (0.00000205-0.00000000j)
 (-2.34867434+0.00000000j)  (0.00000193-0.00000000j)
 (-2.34567284+0.00000000j)  (0.00000171+0.00000000j)
 (-2.34267134+0.00000000j)  (0.00000121-0.00000000j)
 (-2.33966983+0.00000000j)  (0.00000081+0.00000000j)
 (-2.33666833+0.00000000j)  (0.00000057+0.00000000j)
 (-2.33366683+0.00000000j)  (0.00000048+0.00000000j)
 (-2.33066533+0.00000000j)  (0.00000053-0.00000000j)
 (-2.32766383+0.00000000j)  (0.00000070+0.00000000j)
 (-2.32466233+0.00000000j)  (0.00000094-0.00000000j)
 (-2.32166083+0.00000000j)  (0.00000121-0.00000000j)
 (-2.31865933+0.00000000j)  (0.00000146-0.00000000j)
 (-2.31565783+0.00000000j)  (0.00000169-0.00000000j)
 (-2.31265633+0.00000000j)  (0.00000188-0.00000000j)
 (-2.30965483+0.00000000j)  (0.00000201-0.00000000j)
 (-2.30665333+0.00000000j)  (0.00000210-0.00000000j)
 (-2.30365183+0.00000000j)  (0.00000215+0.00000000j)
 (-2.30065033+0.00000000j)  (0.00000217+0.00000000j)
 (-2.29764882+0.00000000j)  (0.00000215-0.00000000j)
 (-2.29464732+0.00000000j)  (0.00000210+0.00000000j)
 (-2.29164582+0.00000000j)  (0.00000203+0.00000000j)
 (-2.28864432+0.00000000j)  (0.00000192-0.00000000j)
 (-2.28564282+0.00000000j)  (0.00000181+0.00000000j)
 (-2.28264132+0.00000000j)  (0.00000171-0.00000000j)
 (-2.27963982+0.00000000j)  (0.00000169-0.00000000j)
 (-2.27663832+0.00000000j)  (0.00000151-0.00000000j)
 (-2.27363682+0.00000000j)  (0.00000080+0.00000000j)
 (-2.27063532+0.00000000j)  (0.00000010+0.00000000j)
 (-2.26763382+0.00000000j)  (-0.00000053-0.00000000j)
 (-2.26463232+0.00000000j)  (-0.00000110-0.00000000j)
 (-2.26163082+0.00000000j)  (-0.00000153+0.00000000j)
 (-2.25862931+0.00000000j)  (-0.00000172+0.00000000j)
 (-2.25562781+0.00000000j)  (-0.00000166-0.00000000j)
 (-2.25262631+0.00000000j)  (-0.00000138-0.00000000j)
 (-2.24962481+0.00000000j)  (-0.00000100+0.00000000j)
 (-2.24662331+0.00000000j)  (-0.00000062+0.00000000j)
 (-2.24362181+0.00000000j)  (-0.00000030-0.00000000j)
 (-2.24062031+0.00000000j)  (-0.00000006-0.00000000j)
 (-2.23761881+0.00000000j)  (0.00000010+0.00000000j)
 (-2.23461731+0.00000000j)  (0.00000017-0.00000000j)
 (-2.23161581+0.00000000j)  (0.00000016-0.00000000j)
 (-2.22861431+0.00000000j)  (0.00000009+0.00000000j)
 (-2.22561281+0.00000000j)  (-0.00000005+0.00000000j)
 (-2.22261131+0.00000000j)  (-0.00000025+0.00000000j)
 (-2.21960980+0.00000000j)  (-0.00000050-0.00000000j)
 (-2.21660830+0.00000000j)  (-0.00000078+0.00000000j)
 (-2.21360680+0.00000000j)  (-0.00000106-0.00000000j)
 (-2.21060530+0.00000000j)  (-0.00000130-0.00000000j)
 (-2.20760380+0.00000000j)  (-0.00000148+0.00000000j)
 (-2.20460230+0.00000000j)  (-0.00000162-0.00000000j)
 (-2.20160080+0.00000000j)  (-0.00000173-0.00000000j)
 (-2.19859930+0.00000000j)  (-0.00000182-0.00000000j)
 (-2.19559780+0.00000000j)  (-0.00000189+0.00000000j)
 (-2.19259630+0.00000000j)  (-0.00000186+0.00000000j)
 (-2.18959480+0.00000000j)  (-0.00000165-0.00000000j)
 (-2.18659330+0.00000000j)  (-0.00000183-0.00000000j)
 (-2.18359180+0.00000000j)  (-0.00000237-0.00000000j)
 (-2.18059030+0.00000000j)  (-0.00000272+0.00000000j)
 (-2.17758879+0.00000000j)  (-0.00000290-0.00000000j)
 (-2.17458729+0.00000000j)  (-0.00000297-0.00000000j)
 (-2.17158579+0.00000000j)  (-0.00000296+0.00000000j)
 (-2.16858429+0.00000000j)  (-0.00000289-0.00000000j)
 (-2.16558279+0.00000000j)  (-0.00000276-0.00000000j)
 (-2.16258129+0.00000000j)  (-0.00000260+0.00000000j)
 (-2.15957979+0.00000000j)  (-0.00000242+0.00000000j)
 (-2.15657829+0.00000000j)  (-0.00000223+0.00000000j)
 (-2.15357679+0.00000000j)  (-0.00000205+0.00000000j)
 (-2.15057529+0.00000000j)  (-0.00000189-0.00000000j)
 (-2.14757379+0.00000000j)  (-0.00000176-0.00000000j)
 (-2.14457229+0.00000000j)  (-0.00000167+0.00000000j)
 (-2.14157079+0.00000000j)  (-0.00000162+0.00000000j)
 (-2.13856928+0.00000000j)  (-0.00000160-0.00000000j)
 (-2.13556778+0.00000000j)  (-0.00000159-0.00000000j)
 (-2.13256628+0.00000000j)  (-0.00000155+0.00000000j)
 (-2.12956478+0.00000000j)  (-0.00000145+0.00000000j)
 (-2.12656328+0.00000000j)  (-0.00000129+0.00000000j)
 (-2.12356178+0.00000000j)  (-0.00000106-0.00000000j)
 (-2.12056028+0.00000000j)  (-0.00000078-0.00000000j)
 (-2.11755878+0.00000000j)  (-0.00000047-0.00000000j)
 (-2.11455728+0.00000000j)  (-0.00000014-0.00000000j)
 (-2.11155578+0.00000000j)  (0.00000017+0.00000000j)
 (-2.10855428+0.00000000j)  (0.00000046+0.00000000j)
 (-2.10555278+0.00000000j)  (0.00000072-0.00000000j)
 (-2.10255128+0.00000000j)  (0.00000094+0.00000000j)
 (-2.09954977+0.00000000j)  (0.00000113-0.00000000j)
 (-2.09654827+0.00000000j)  (0.00000127+0.00000000j)
 (-2.09354677+0.00000000j)  (0.00000139-0.00000000j)
 (-2.09054527+0.00000000j)  (0.00000147-0.00000000j)
 (-2.08754377+0.00000000j)  (0.00000154+0.00000000j)
 (-2.08454227+0.00000000j)  (0.00000160+0.00000000j)
 (-2.08154077+0.00000000j)  (0.00000169+0.00000000j)
 (-2.07853927+0.00000000j)  (0.00000186+0.00000000j)
 (-2.07553777+0.00000000j)  (0.00000200-0.00000000j)
 (-2.07253627+0.00000000j)  (0.00000189+0.00000000j)
 (-2.06953477+0.00000000j)  (0.00000181+0.00000000j)
 (-2.06653327+0.00000000j)  (0.00000183+0.00000000j)
 (-2.06353177+0.00000000j)  (0.00000191+0.00000000j)
 (-2.06053027+0.00000000j)  (0.00000199+0.00000000j)
 (-2.05752876+0.00000000j)  (0.00000208-0.00000000j)
 (-2.05452726+0.00000000j)  (0.00000215-0.00000000j)
 (-2.05152576+0.00000000j)  (0.00000221+0.00000000j)
 (-2.04852426+0.00000000j)  (0.00000226-0.00000000j)
 (-2.04552276+0.00000000j)  (0.00000229+0.00000000j)
 (-2.04252126+0.00000000j)  (0.00000232+0.00000000j)
 (-2.03951976+0.00000000j)  (0.00000233-0.00000000j)
 (-2.03651826+0.00000000j)  (0.00000234+0.00000000j)
 (-2.03351676+0.00000000j)  (0.00000233+0.00000000j)
 (-2.03051526+0.00000000j)  (0.00000231-0.00000000j)
 (-2.02751376+0.00000000j)  (0.00000228+0.00000000j)
 (-2.02451226+0.00000000j)  (0.00000223+0.00000000j)
 (-2.02151076+0.00000000j)  (0.00000216-0.00000000j)
 (-2.01850925+0.00000000j)  (0.00000206-0.00000000j)
 (-2.01550775+0.00000000j)  (0.00000193-0.00000000j)
 (-2.01250625+0.00000000j)  (0.00000175-0.00000000j)
 (-2.00950475+0.00000000j)  (0.00000152-0.00000000j)
 (-2.00650325+0.00000000j)  (0.00000129+0.00000000j)
 (-2.00350175+0.00000000j)  (0.00000112+0.00000000j)
 (-2.00050025+0.00000000j)  (0.00000110-0.00000000j)
 (-1.99749875+0.00000000j)  (0.00000126+0.00000000j)
 (-1.99449725+0.00000000j)  (0.00000153+0.00000000j)
 (-1.99149575+0.00000000j)  (0.00000178+0.00000000j)
 (-1.98849425+0.00000000j)  (0.00000195+0.00000000j)
 (-1.98549275+0.00000000j)  (0.00000207-0.00000000j)
 (-1.98249125+0.00000000j)  (0.00000216-0.00000000j)
 (-1.97948974+0.00000000j)  (0.00000223+0.00000000j)
 (-1.97648824+0.00000000j)  (0.00000227-0.00000000j)
 (-1.97348674+0.00000000j)  (0.00000229+0.00000000j)
 (-1.97048524+0.00000000j)  (0.00000230+0.00000000j)
 (-1.96748374+0.00000000j)  (0.00000231+0.00000000j)
 (-1.96448224+0.00000000j)  (0.00000231+0.00000000j)
 (-1.96148074+0.00000000j)  (0.00000230-0.00000000j)
 (-1.95847924+0.00000000j)  (0.00000230+0.00000000j)
 (-1.95547774+0.00000000j)  (0.00000229+0.00000000j)
 (-1.95247624+0.00000000j)  (0.00000227-0.00000000j)
 (-1.94947474+0.00000000j)  (0.00000226-0.00000000j)
 (-1.94647324+0.00000000j)  (0.00000225+0.00000000j)
 (-1.94347174+0.00000000j)  (0.00000223+0.00000000j)
 (-1.94047024+0.00000000j)  (0.00000221+0.00000000j)
 (-1.93746873+0.00000000j)  (0.00000218+0.00000000j)
 (-1.93446723+0.00000000j)  (0.00000214+0.00000000j)
 (-1.93146573+0.00000000j)  (0.00000209-0.00000000j)
 (-1.92846423+0.00000000j)  (0.00000204-0.00000000j)
 (-1.92546273+0.00000000j)  (0.00000199+0.00000000j)
 (-1.92246123+0.00000000j)  (0.00000193+0.00000000j)
 (-1.91945973+0.00000000j)  (0.00000186+0.00000000j)
 (-1.91645823+0.00000000j)  (0.00000178+0.00000000j)
 (-1.91345673+0.00000000j)  (0.00000169-0.00000000j)
 (-1.91045523+0.00000000j)  (0.00000159+0.00000000j)
 (-1.90745373+0.00000000j)  (0.00000147+0.00000000j)
 (-1.90445223+0.00000000j)  (0.00000136-0.00000000j)
 (-1.90145073+0.00000000j)  (0.00000125+0.00000000j)
 (-1.89844922+0.00000000j)  (0.00000114+0.00000000j)
 (-1.89544772+0.00000000j)  (0.00000102-0.00000000j)
 (-1.89244622+0.00000000j)  (0.00000092+0.00000000j)
 (-1.88944472+0.00000000j)  (0.00000085-0.00000000j)
 (-1.88644322+0.00000000j)  (0.00000081+0.00000000j)
 (-1.88344172+0.00000000j)  (0.00000082+0.00000000j)
 (-1.88044022+0.00000000j)  (0.00000084-0.00000000j)
 (-1.87743872+0.00000000j)  (0.00000088+0.00000000j)
 (-1.87443722+0.00000000j)  (0.00000091-0.00000000j)
 (-1.87143572+0.00000000j)  (0.00000093-0.00000000j)
 (-1.86843422+0.00000000j)  (0.00000093-0.00000000j)
 (-1.86543272+0.00000000j)  (0.00000092-0.00000000j)
 (-1.86243122+0.00000000j)  (0.00000089+0.00000000j)
 (-1.85942971+0.00000000j)  (0.00000084+0.00000000j)
 (-1.85642821+0.00000000j)  (0.00000079-0.00000000j)
 (-1.85342671+0.00000000j)  (0.00000072-0.00000000j)
 (-1.85042521+0.00000000j)  (0.00000064-0.00000000j)
 (-1.84742371+0.00000000j)  (0.00000056-0.00000000j)
 (-1.84442221+0.00000000j)  (0.00000046-0.00000000j)
 (-1.84142071+0.00000000j)  (0.00000036+0.00000000j)
 (-1.83841921+0.00000000j)  (0.00000026+0.00000000j)
 (-1.83541771+0.00000000j)  (0.00000015-0.00000000j)
 (-1.83241621+0.00000000j)  (0.00000004+0.00000000j)
 (-1.82941471+0.00000000j)  (-0.00000006+0.00000000j)
 (-1.82641321+0.00000000j)  (-0.00000016+0.00000000j)
 (-1.82341171+0.00000000j)  (-0.00000024+0.00000000j)
 (-1.82041021+0.00000000j)  (-0.00000029-0.00000000j)
 (-1.81740870+0.00000000j)  (-0.00000033-0.00000000j)
 (-1.81440720+0.00000000j)  (-0.00000045+0.00000000j)
 (-1.81140570+0.00000000j)  (-0.00000057+0.00000000j)
 (-1.80840420+0.00000000j)  (-0.00000065-0.00000000j)
 (-1.80540270+0.00000000j)  (-0.00000071-0.00000000j)
 (-1.80240120+0.00000000j)  (-0.00000075+0.00000000j)
 (-1.79939970+0.00000000j)  (-0.00000077-0.00000000j)
 (-1.79639820+0.00000000j)  (-0.00000078-0.00000000j)
 (-1.79339670+0.00000000j)  (-0.00000078+0.00000000j)
 (-1.79039520+0.00000000j)  (-0.00000077-0.00000000j)
 (-1.78739370+0.00000000j)  (-0.00000075-0.00000000j)
 (-1.78439220+0.00000000j)  (-0.00000074+0.00000000j)
 (-1.78139070+0.00000000j)  (-0.00000072+0.00000000j)
 (-1.77838919+0.00000000j)  (-0.00000072+0.00000000j)
 (-1.77538769+0.00000000j)  (-0.00000072+0.00000000j)
 (-1.77238619+0.00000000j)  (-0.00000071+0.00000000j)
 (-1.76938469+0.00000000j)  (-0.00000068-0.00000000j)
 (-1.76638319+0.00000000j)  (-0.00000060+0.00000000j)
 (-1.76338169+0.00000000j)  (-0.00000049-0.00000000j)
 (-1.76038019+0.00000000j)  (-0.00000036+0.00000000j)
 (-1.75737869+0.00000000j)  (-0.00000023+0.00000000j)
 (-1.75437719+0.00000000j)  (-0.00000012-0.00000000j)
 (-1.75137569+0.00000000j)  (-0.00000004-0.00000000j)
 (-1.74837419+0.00000000j)  (0.00000003-0.00000000j)
 (-1.74537269+0.00000000j)  (0.00000010+0.00000000j)
 (-1.74237119+0.00000000j)  (0.00000014+0.00000000j)
 (-1.73936968+0.00000000j)  (0.00000014+0.00000000j)
 (-1.73636818+0.00000000j)  (0.00000023-0.00000000j)
 (-1.73336668+0.00000000j)  (0.00000022+0.00000000j)
 (-1.73036518+0.00000000j)  (0.00000016-0.00000000j)
 (-1.72736368+0.00000000j)  (0.00000005+0.00000000j)
 (-1.72436218+0.00000000j)  (-0.00000010-0.00000000j)
 (-1.72136068+0.00000000j)  (-0.00000029+0.00000000j)
 (-1.71835918+0.00000000j)  (-0.00000053+0.00000000j)
 (-1.71535768+0.00000000j)  (-0.00000082-0.00000000j)
 (-1.71235618+0.00000000j)  (-0.00000112-0.00000000j)
 (-1.70935468+0.00000000j)  (-0.00000139-0.00000000j)
 (-1.70635318+0.00000000j)  (-0.00000153+0.00000000j)
 (-1.70335168+0.00000000j)  (-0.00000148+0.00000000j)
